base_building_group,variant,sample_id,seed,annual_heating_kWh,peak_heating_kW,overheating_hours_any_zone_gt_26C,mean_interzone_spread_C,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_any_zone_gt_26C_mean,overheating_hours_any_zone_gt_26C_std,overheating_hours_any_zone_gt_26C_min,overheating_hours_any_zone_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max
DESHPDHK0000lce9,V2,17,3,115795.0668824272,49.4711708984375,2196.0,4.542069378406434,115795.0668824272,,115795.0668824272,115795.0668824272,49.4711708984375,,49.4711708984375,49.4711708984375,2196.0,,2196.0,2196.0,4.542069378406434,,4.542069378406434,4.542069378406434
DESHPDHK0000lce9,V2,17,4,118581.48404855376,51.4289423828125,2211.0,4.450891267245063,118581.48404855376,,118581.48404855376,118581.48404855376,51.4289423828125,,51.4289423828125,51.4289423828125,2211.0,,2211.0,2211.0,4.450891267245063,,4.450891267245063,4.450891267245063
DESHPDHK0000lce9,V2,18,1,95753.32059207476,48.91299609375,2316.0,3.832818363861541,95753.32059207476,,95753.32059207476,95753.32059207476,48.91299609375,,48.91299609375,48.91299609375,2316.0,,2316.0,2316.0,3.832818363861541,,3.832818363861541,3.832818363861541
DESHPDHK0000lce9,V2,18,2,92500.1180925612,47.234537109375,2407.0,4.002636675556524,92500.1180925612,,92500.1180925612,92500.1180925612,47.234537109375,,47.234537109375,47.234537109375,2407.0,,2407.0,2407.0,4.002636675556524,,4.002636675556524,4.002636675556524
DESHPDHK0000lce9,V2,7,2,31496.273569486915,29.602152587890625,2755.0,4.121639746779274,31496.273569486915,,31496.273569486915,31496.273569486915,29.602152587890625,,29.602152587890625,29.602152587890625,2755.0,,2755.0,2755.0,4.121639746779274,,4.121639746779274,4.121639746779274
DESHPDHK0000lce9,V2,18,3,91910.33830739536,47.2096552734375,2357.0,4.010475628072022,91910.33830739536,,91910.33830739536,91910.33830739536,47.2096552734375,,47.2096552734375,47.2096552734375,2357.0,,2357.0,2357.0,4.010475628072022,,4.010475628072022,4.010475628072022
DESHPDHK0000lce9,V2,20,1,37613.444604630815,32.276208984375,2519.0,4.327089286832939,37613.444604630815,,37613.444604630815,37613.444604630815,32.276208984375,,32.276208984375,32.276208984375,2519.0,,2519.0,2519.0,4.327089286832939,,4.327089286832939,4.327089286832939
DESHPDHK0000lce9,V2,24,1,45096.84927344319,34.10271044921875,2559.0,5.188967619975283,45096.84927344319,,45096.84927344319,45096.84927344319,34.10271044921875,,34.10271044921875,34.10271044921875,2559.0,,2559.0,2559.0,5.188967619975283,,5.188967619975283,5.188967619975283
DESHPDHK0000lce9,V2,20,4,35552.47026097656,31.65775927734375,2589.0,4.450241229942628,35552.47026097656,,35552.47026097656,35552.47026097656,31.65775927734375,,31.65775927734375,31.65775927734375,2589.0,,2589.0,2589.0,4.450241229942628,,4.450241229942628,4.450241229942628
DESHPDHK0000lce9,V2,21,1,103605.41166549348,49.28712109375,2066.0,3.855271254836556,103605.41166549348,,103605.41166549348,103605.41166549348,49.28712109375,,49.28712109375,49.28712109375,2066.0,,2066.0,2066.0,3.855271254836556,,3.855271254836556,3.855271254836556
DESHPDHK0000lce9,V2,21,2,100227.69397585644,47.342341796875,2117.0,3.949906797553836,100227.69397585644,,100227.69397585644,100227.69397585644,47.342341796875,,47.342341796875,47.342341796875,2117.0,,2117.0,2117.0,3.949906797553836,,3.949906797553836,3.949906797553836
DESHPDHK0000lce9,V2,21,3,99930.90674444169,47.42786328125,2077.0,3.959916183494323,99930.90674444169,,99930.90674444169,99930.90674444169,47.42786328125,,47.42786328125,47.42786328125,2077.0,,2077.0,2077.0,3.959916183494323,,3.959916183494323,3.959916183494323
DESHPDHK0000lce9,V2,21,4,101969.3254106375,48.415064453125,2061.0,3.815537974219688,101969.3254106375,,101969.3254106375,101969.3254106375,48.415064453125,,48.415064453125,48.415064453125,2061.0,,2061.0,2061.0,3.815537974219688,,3.815537974219688,3.815537974219688
DESHPDHK0000lce9,V2,22,1,34027.54624926508,30.45514453125,2492.0,3.694298596050675,34027.54624926508,,34027.54624926508,34027.54624926508,30.45514453125,,30.45514453125,30.45514453125,2492.0,,2492.0,2492.0,3.694298596050675,,3.694298596050675,3.694298596050675
DESHPDHK0000lce9,V2,22,2,31252.33879161415,28.11198510742188,2613.0,3.853807348106128,31252.33879161415,,31252.33879161415,31252.33879161415,28.11198510742188,,28.11198510742188,28.11198510742188,2613.0,,2613.0,2613.0,3.853807348106128,,3.853807348106128,3.853807348106128
