building_id,n_gt_regions,n_pred_regions,zone_count_diff,false_negatives,false_positives,region_recall,region_precision,topology_correct,n_gt_core_apartment_edges,n_pred_core_apartment_edges,n_missing_core_apartment_edges,n_extra_core_apartment_edges,mean_iou_overall,mean_iou_matched,mean_area_error,mean_centroid_distance,mean_fragmentation,diagnosis
4234,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.807209059,0.807209059,9.511179826395171,0.5958500265999443,2.0,Good geometric match
4239,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7989839356383065,0.7989839356383065,10.185176562394572,0.6726104448480404,2.0,Good geometric match
4258,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.836400555,0.836400555,5.444389458092174,0.4434097528061042,1.6666666666666667,Good geometric match
4321,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7910737735946531,0.7910737735946531,23.966199537710214,0.4190292171744627,1.3333333333333333,Good geometric match
4832,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8635869150548775,0.8635869150548775,7.713975922512322,0.4135926050967759,1.6666666666666667,Good geometric match
5069,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8256276854049801,0.8256276854049801,19.04798936996298,0.3738879595005117,1.3333333333333333,Good geometric match
5086,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8451961964523601,0.8451961964523601,7.839208285580415,0.3527198522599675,1.3333333333333333,Good geometric match
5102,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8273994802640741,0.8273994802640741,19.195436331816683,0.3797673197793055,1.3333333333333333,Good geometric match
5103,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7689758582035887,0.7689758582035887,8.951523380135178,0.5241708161235724,1.3333333333333333,Good geometric match
5319,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.8794847608461428,0.8794847608461428,5.210633383842556,0.237581589,1.0,Good geometric match
5322,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.856739873,0.856739873,9.626348449275303,0.4032043069232569,1.1666666666666667,Good geometric match
5325,7,6,-1,1,0,0.8571428571428571,1.0,0.0,5,4,1,0,0.6005948876213455,0.7006940355582364,15.909608555260284,0.8690248143748946,1.5714285714285714,Under-zoned
5863,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8286664207428958,0.8286664207428958,13.856071215750134,0.5379147580304843,1.3333333333333333,Good geometric match
6362,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9287412799973688,0.9287412799973688,6.537464206701412,0.1064941792230606,1.0,Good geometric match
